Drug ID,Drug Name,Generic Name,Drug Class,Indications,Dosage Form,Strength,Route of Administration,Mechanism of Action,Side Effects,Contraindications,Interactions,Warnings and Precautions,Pregnancy Category,Storage Conditions,Manufacturer,Approval Date,Availability,NDC,Price
192,Levothyroxine,Levothyroxine,Thyroid Hormone,Hypothyroidism,Tablet,100 mcg,Oral,Replaces thyroid hormone,Tremor, Insomnia,Cardiovascular disease: use with caution,Take on an empty stomach,Category A,Room temperature,EndoPharm,05-11-2021,Prescription,34567890126,3.75
193,Quetiapine,Quetiapine,Atypical Antipsychotic,Schizophrenia,Tablet,25 mg,Oral,Blocks dopamine and serotonin receptors,Drowsiness, Weight gain,Elderly with dementia: increased risk of death,May cause dizziness,Category C,Room temperature,MentalWellness,30-01-2022,Prescription,45678901237,6.99
194,Prednisone,Prednisone,Corticosteroid,Inflammatory Conditions,Tablet,2.5 mg,Oral,Suppresses immune response,Weight gain, Mood changes,Avoid alcohol and grapefruit,Take with food or milk,Category C,Room temperature,InflammaCare,15-09-2021,Prescription,56789012348,4.25
195,Fluticasone Propionate / Salmeterol,Fluticasone Propionate / Salmeterol,Corticosteroid / Long-acting Beta Agonist,Asthma,Inhaler,50 mcg / 5 mcg per inhalation,Inhalation,Reduces inflammation and bronchoconstriction, Hoarseness, Oral candidiasis,Rinse mouth after use,Use regularly for best results,Category C,Room temperature,RespireCare,05-03-2022,Prescription,67890123459,10.99
196,Simvastatin,Simvastatin,Cholesterol-lowering,Hyperlipidemia,Tablet,20 mg,Oral,Inhibits cholesterol synthesis,Muscle pain, Liver problems,Strong CYP3A4 inhibitors: increased risk of side effects,Avoid grapefruit juice,Category X,Room temperature,PharmaWell,15-10-2021,Prescription,78901234570,3.99
197,Amoxicillin,Amoxicillin,Antibiotic,Bacterial Infections,Capsule,500 mg,Oral,Inhibits bacterial cell wall synthesis,Nausea, Allergic reactions,Penicillin: reduced efficacy,Take with food to reduce stomach upset,Category B,Room temperature,MediPharm,10-01-2022,Prescription,89012345681,6.5
198,Lisinopril,Lisinopril,Antihypertensive,Hypertension,Tablet,10 mg,Oral,Blocks conversion of angiotensin I to angiotensin II,Cough, Kidney problems,Diuretics: increased risk of kidney problems,Monitor kidney function regularly,Category D,Room temperature,HealthMeds,20-11-2021,Prescription,90123456692,4.75
199,Albuterol,Albuterol,Bronchodilator,Asthma,Inhaler,180 mcg per inhalation,Inhalation,Stimulates beta-2 adrenergic receptors,Tremor, Rapid heart rate,Beta-blockers: decreased effectiveness,Use as needed for acute asthma symptoms,Category C,Room temperature,RespirePharma,20-02-2022,Prescription,12345678903,16.99
200,Omeprazole,Omeprazole,Proton Pump Inhibitor,Acid Reflux,Capsule,40 mg,Oral,Reduces stomach acid production,Headache, Abdominal pain,Clopidogrel: reduced effectiveness,Take before a meal,Category C,Room temperature,MediCare,10-10-2021,OTC,23456789014,7.25
201,Levothyroxine,Levothyroxine,Thyroid Hormone,Hypothyroidism,Tablet,125 mcg,Oral,Replaces thyroid hormone,Tremor, Insomnia,Cardiovascular disease: use with caution,Take on an empty stomach,Category A,Room temperature,EndoPharm,01-03-2022,Prescription,34567890125,4.99
202,Quetiapine,Quetiapine,Atypical Antipsychotic,Schizophrenia,Tablet,100 mg,Oral,Blocks dopamine and serotonin receptors,Drowsiness, Weight gain,Elderly with dementia: increased risk of death,May cause dizziness,Category C,Room temperature,MentalWellness,15-11-2021,Prescription,45678901236,8.75
203,Prednisone,Prednisone,Corticosteroid,Inflammatory Conditions,Tablet,10 mg,Oral,Suppresses immune response,Weight gain, Mood changes,Avoid alcohol and grapefruit,Take with food or milk,Category C,Room temperature,InflammaCare,28-02-2022,Prescription,56789012347,3.99
204,Fluticasone Propionate / Salmeterol,Fluticasone Propionate / Salmeterol,Corticosteroid / Long-acting Beta Agonist,Asthma,Inhaler,200 mcg / 20 mcg per inhalation,Inhalation,Reduces inflammation and bronchoconstriction, Hoarseness, Oral candidiasis,Rinse mouth after use,Use regularly for best results,Category C,Room temperature,RespireCare,10-11-2021,Prescription,67890123458,12.99
205,Simvastatin,Simvastatin,Cholesterol-lowering,Hyperlipidemia,Tablet,40 mg,Oral,Inhibits cholesterol synthesis,Muscle pain, Liver problems,Strong CYP3A4 inhibitors: increased risk of side effects,Avoid grapefruit juice,Category X,Room temperature,PharmaWell,15-02-2022,Prescription,78901234569,5.5
206,Amoxicillin,Amoxicillin,Antibiotic,Bacterial Infections,Capsule,250 mg,Oral,Inhibits bacterial cell wall synthesis,Nausea, Allergic reactions,Penicillin: reduced efficacy,Take with food to reduce stomach upset,Category B,Room temperature,MediPharm,30-10-2021,Prescription,89012345680,4.5
207,Lisinopril,Lisinopril,Antihypertensive,Hypertension,Tablet,5 mg,Oral,Blocks conversion of angiotensin I to angiotensin II,Cough, Kidney problems,Diuretics: increased risk of kidney problems,Monitor kidney function regularly,Category D,Room temperature,HealthMeds,05-03-2022,Prescription,90123456691,6.25
208,Albuterol,Albuterol,Bronchodilator,Asthma,Inhaler,180 mcg per inhalation,Inhalation,Stimulates beta-2 adrenergic receptors,Tremor, Rapid heart rate,Beta-blockers: decreased effectiveness,Use as needed for acute asthma symptoms,Category C,Room temperature,RespirePharma,10-12-2021,Prescription,12345678902,16.99
209,Omeprazole,Omeprazole,Proton Pump Inhibitor,Acid Reflux,Capsule,20 mg,Oral,Reduces stomach acid production,Headache, Abdominal pain,Clopidogrel: reduced effectiveness,Take before a meal,Category C,Room temperature,MediCare,22-01-2022,OTC,23456789013,6.75
210,Atenolol,Atenolol,Beta Blocker,Hypertension,Tablet,50 mg,Oral,Blocks beta receptors,Low heart rate, Low blood pressure,Asthma: use with caution,Do not stop abruptly,Category D,Room temperature,CardioPharm,30-11-2021,Prescription,34567890124,5.99
211,Citalopram,Citalopram,Selective Serotonin Reuptake Inhibitor,Depression,Tablet,20 mg,Oral,Inhibits serotonin reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature,MoodEase,10-03-2022,Prescription,45678901235,4.25
212,Esomeprazole,Esomeprazole,Proton Pump Inhibitor,Acid Reflux,Capsule,40 mg,Oral,Reduces stomach acid production,Headache, Abdominal pain,Clopidogrel: reduced effectiveness,Take before a meal,Category C,Room temperature,MediCare,15-10-2021,OTC,56789012346,5.99
213,Losartan,Losartan,Angiotensin II Receptor Blocker,Hypertension,Tablet,100 mg,Oral,Blocks angiotensin II receptors,Cough, Low blood pressure,Potassium supplements: use with caution,Take with or without food,Category D,Room temperature,HeartHealth,28-01-2022,Prescription,67890123457,7.5
214,Venlafaxine,Venlafaxine,Selective Serotonin-Norepinephrine Reuptake Inhibitor,Depression,Tablet,75 mg,Oral,Inhibits serotonin and norepinephrine reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature,EmotionCare,30-09-2021,Prescription,78901234568,8.25
215,Ranitidine,Ranitidine,H2 Blocker,Gastric Ulcers,Tablet,75 mg,Oral,Reduces stomach acid production,Headache, Constipation,Allergic reactions: avoid,Long-term use: increased risk of fractures,Category B,Room temperature,MediCure,10-02-2022,OTC,89012345679,3.99
216,Loratadine,Loratadine,Antihistamine,Allergies,Tablet,10 mg,Oral,Blocks histamine receptors,Drowsiness (less common), Dry mouth,Use as needed for allergy symptoms,May cause drowsiness: use caution while driving,Category B,Room temperature,AllergyRelief,05-11-2021,OTC,90123456690,4.75
217,Carvedilol,Carvedilol,Alpha-Beta Blocker,Hypertension,Tablet,12.5 mg,Oral,Blocks alpha and beta receptors,Dizziness, Low blood pressure,COPD: use with caution,Take with food,Category C,Room temperature,CardioPharm,20-01-2022,Prescription,12345678901,6.5
218,Sertraline,Sertraline,Selective Serotonin Reuptake Inhibitor,Depression,Tablet,100 mg,Oral,Inhibits serotonin reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature,MoodEase,15-12-2021,Prescription,23456789012,7.99
219,Duloxetine,Duloxetine,Selective Serotonin-Norepinephrine Reuptake Inhibitor,Depression,Tablet,60 mg,Oral,Inhibits serotonin and norepinephrine reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature,EmotionCare,01-03-2022,Prescription,34567890123,9.5
220,Bupropion,Bupropion,Atypical Antidepressant,Depression,Tablet,300 mg,Oral,Increases norepinephrine and dopamine,Insomnia, Weight loss,Seizure disorder: use with caution,Do not take at bedtime,Category C,Room temperature,MoodEase,10-10-2021,Prescription,45678901234,11.25
